Group;Key;Text;codeEL;codeNT;codePython;codePRT
Day Of Week;MWF;Mon + Wed + Fri;MonWedFri = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Friday);data[stocks[0]].datetime.weekday() % 2 == 0;(dayofweek = 1 or dayofweek = 3 or dayofweek = 5)
Day Of Week;MRF;Mon + Thurs + Fri;MonThurFri = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Thursday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 3 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 1 or dayofweek = 4 or dayofweek = 5)
Day Of Week;TWR;Tues + Wed + Thurs;TuesWedThur = 1;(Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Thursday);data[stocks[0]].datetime.weekday() >= 1 and data[stocks[0]].datetime.weekday() <= 3;(dayofweek = 2 or dayofweek = 3 or dayofweek = 4)
Day Of Week;TWF;Tues + Wed + Fri;TuesWedFri = 1;(Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 1 or data[stocks[0]].datetime.weekday() == 2 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 2 or dayofweek = 3 or dayofweek = 5)
Day Of Week;TRF;Tues + Thurs + Fri;TuesThurFri = 1;(Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Thursday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 1 or data[stocks[0]].datetime.weekday() == 3 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 2 or dayofweek = 4 or dayofweek = 5)
Day Of Week;WRF;Wed + Thurs + Fri;WedThurFri = 1;(Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Thursday || Time[0].DayOfWeek == DayOfWeek.Friday);data[stocks[0]].datetime.weekday() >= 2 and data[stocks[0]].datetime.weekday() <= 4;(dayofweek = 3 or dayofweek = 4 or dayofweek = 5)
TDLM;TDLM0;TDLM = 0;TDLM = 0;TDLM()[0] == 0;TDLM(D)[-1] == 0;myTDLM = 0
TDLM;TDLM1;TDLM = 1;TDLM = 1;TDLM()[0] == 1;TDLM(D)[-1] == 1;myTDLM = 1
TDLM;TDLM2;TDLM = 2;TDLM = 2;TDLM()[0] == 2;TDLM(D)[-1] == 2;myTDLM = 2
TDLM;TDLM3;TDLM = 3;TDLM = 3;TDLM()[0] == 3;TDLM(D)[-1] == 3;myTDLM = 3
